Nummer	Titel	Gehört
51	Tatort Kletterpark	
59	Fußballhelden	Alwin
und du 10	Die verhexte Achterbahn	
10	Spuk in Rocky Beach	Alwin
64	In der Schatzhöhle	
70	Aufbruch ins All	Emil
	Der Adventskalender - 24 Tage im Weihnachtsland	
Midi 1	Die Müllmonster	Alwin
Midi 5	Rätseljagd	Alwin
1	Panik im Paradies	Alwin
2	Radio Rocky Beach	Alwin
3	Invasion der Fliegen	Alwin
5	Flucht in die Zukunft	Emil
7	Gruft der Piraten	Emil
12	Internetpiraten	Emil
29	Monsterpilze	Alwin
24	Im Bann des Zauberers	Alwin
52	Mächtige Magier	Alwin
Midi 11	Achtung, Strandräuber!	Alwin
Midi 12	Eiskaltes Spiel	Alwin
	Achtung, Katzendiebe!	Alwin
	Basketballfieber	Alwin
56	Das Rätsel der Könige	Emil
