0	Kein Fehler
1	Undefinierter Fehler
2	Initialisierungsfehler
3	Unbekannten Modultyp empfangen
4	Fehler bei der Typinitialisierung
5	Ungültige Seriennummer empfangen. Seriennummer konnte nicht verifiziert werden.
6	Kalibrierung abgebrochen
7	Unbekannter oder ungültiger Prüfsatz
15	Referenzfehler: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
16	Referenzfehler: Kontaktierung verpolt
17	Referenzfehler: Fehler bei der Berechnung des Messwertes
18	Referenzfehler: Zu hohes Rauschen in den Messwerten
19	Referenzfehler: Relative Abweichung vom Sollwert zu groß
20	Referenzfehler: Abweichung vom Sollwert zu groß
21	Referenzfehler: Es wurde mehr als ein Messimpuls identifiziert.
22	Referenzfehler: Zu wenige gültige Messwerte aufgenommen
23	Referenzfehler: Messimpuls konnte nicht erkannt werden.
24	Referenzfehler: Messimpuls konnte nicht identifiziert werden (Diff error)
25	Referenzfehler: Zu viele Ausreißer in den Messwerten
26	Referenzfehler: Interner Modulfehler
150	Nicht gestartet
151	Funktion nicht angewaehlt
152	Messende nicht erreicht
153	Keine Werte ausgelesen
154	Wert ausserhalb der Toleranz des Isolationstests
155	Wert ausserhalb der Toleranz des Hochspannungstests
156	Werte nicht gespeichert
157	Datensatz nicht gefunden
158	Fehler beim Konfigurieren des Hochspannungstests
159	Fehler beim Konfigurieren des Isolationstests
160	Keine Isolation gemessen
500	Allgemeiner IMC-T Fehler
501	Fehler beim Schreiben der Default-Parameter
502	Fehler in der Kalibrierungssequenz (ungefilterte Strommessung)
503	Fehler beim Schreiben der Kalibrierungsdaten (ungefilterte Strommessung)
504	Fehler in der Überstromkalibrierung
505	Fehler beim Schreiben der Kalibrierungsparameter
506	Fehler in der Nachmessungssequenz (ungefilterte Strommessung)
507	Fehler beim Schreiben der Nachmessungsdaten (ungefilterte Strommessung)
508	Fehler in der Nachmessungssequenz (gefilterte Strommessung)
509	Fehler beim Schreiben der Nachmessungsdaten (gefilterte Strommessung)
510	Fehler in der Überstromnachmessungssequenz
511	Fehler bei der Kalibrierung der Überstrommessung
512	Fehler beim Schreiben der Überstromdaten
513	Fehler beim Schreiben der Überstromnachmessungsdaten
514	Modul nicht richtig kontaktiert oder keine Verbindung zur Stromversorgung
